"","t","logFC","P.Value","status","type"
"246",258.030749475887,10.6278563914286,6.77257371931838e-17,0,"myeloma"
"247",257.357497941466,11.6332962857143,6.91483323394011e-17,0,"myeloma"
"248",257.100280912392,8.70491763528571,6.97006934391703e-17,0,"myeloma"
"249",256.787924092262,9.68499932971428,7.0378153957915e-17,0,"myeloma"
"250",256.707007462594,8.22169181285714,7.05548579989511e-17,0,"myeloma"
"251",405.000703931882,13.340684655,1.93633405391075e-11,1,"myeloma"
"252",397.838494708595,12.8467438225,2.09822442833846e-11,1,"myeloma"
"253",395.084351328509,13.4394898425,2.16485498820531e-11,1,"myeloma"
"254",387.32329358882,13.46403885,2.36702653347714e-11,1,"myeloma"
"255",386.390511572916,13.3623650075,2.39285026493788e-11,1,"myeloma"
"256",385.927570654639,12.832446575,2.40579444177685e-11,1,"myeloma"
"257",382.420642229481,13.300797225,2.50668223613847e-11,1,"myeloma"
"258",377.124674550566,12.526453015,2.66903273428236e-11,1,"myeloma"
"259",375.804424005194,12.259081125,2.71148931542504e-11,1,"myeloma"
"260",374.213716423961,13.1764864925,2.76374524583205e-11,1,"myeloma"
"261",367.825144844195,12.7853434075,2.98642346802272e-11,1,"myeloma"
"262",362.971979236931,13.34956074,3.17036762432198e-11,1,"myeloma"
"263",362.964574843627,11.65022993,3.17065868020586e-11,1,"myeloma"
"264",362.932468996332,13.035063505,3.17192109203178e-11,1,"myeloma"
"265",360.98291381315,12.717063665,3.2497428495371e-11,1,"myeloma"
"266",359.493652148219,13.18435526,3.31076713006564e-11,1,"myeloma"
"267",359.24000998117,12.384569645,3.32129954033357e-11,1,"myeloma"
"268",352.620013227067,12.016623975,3.61126180123726e-11,1,"myeloma"
"269",349.612478953926,13.098397255,3.75318181495051e-11,1,"myeloma"
"270",349.120019387266,13.4925959125,3.7770650130912e-11,1,"myeloma"
"271",348.957003698143,11.6982669825,3.78501180766571e-11,1,"myeloma"
"272",348.849696416268,12.144064905,3.79025404712119e-11,1,"myeloma"
"273",347.832473759785,12.0438525675,3.84039142325868e-11,1,"myeloma"
"274",342.647310487249,12.2453830225,4.10893154382433e-11,1,"myeloma"
"275",342.21427117333,12.96317005,4.13238162167557e-11,1,"myeloma"
"276",341.869803984995,12.40056777,4.15115220439039e-11,1,"myeloma"
"277",340.978947521851,11.2540650375,4.20018184485403e-11,1,"myeloma"
"278",339.693590387905,12.560964585,4.27217716811274e-11,1,"myeloma"
"279",339.679277087179,12.901978255,4.27298733830355e-11,1,"myeloma"
"280",339.036275363657,12.52888322,4.30957739902946e-11,1,"myeloma"
"281",337.805393995125,12.895607235,4.38069505167879e-11,1,"myeloma"
"282",334.554766681397,13.5493135425,4.57552181230886e-11,1,"myeloma"
"283",334.327454685857,12.5343446725,4.58953805046673e-11,1,"myeloma"
"284",333.793490174365,12.6965878025,4.62266969543376e-11,1,"myeloma"
"285",333.110958365641,13.21811962,4.66544643640905e-11,1,"myeloma"
"286",331.221486571688,13.0205709925,4.78641522806384e-11,1,"myeloma"
"287",330.819918171882,11.622794625,4.81261661378593e-11,1,"myeloma"
"288",330.690693146436,12.8916275525,4.82108550139015e-11,1,"myeloma"
"289",330.242786190455,12.8479492675,4.85058084814113e-11,1,"myeloma"
"290",330.231902021841,12.975701095,4.85130032766168e-11,1,"myeloma"
"291",329.592869443386,12.66798377,4.89377208328706e-11,1,"myeloma"
"292",329.372242408065,12.1031942375,4.90854097469475e-11,1,"myeloma"
"293",329.236751087505,11.23772907,4.9176378382611e-11,1,"myeloma"
"294",328.188672130014,12.3821122675,4.98870633003204e-11,1,"myeloma"
"295",327.323951824292,12.6288466475,5.04828854214439e-11,1,"myeloma"
"296",327.034384735695,12.3757438675,5.06843487521698e-11,1,"myeloma"
"297",326.019419172687,12.82177377,5.13983033809497e-11,1,"myeloma"
"298",325.302820948536,12.654043435,5.19097893966886e-11,1,"myeloma"
"299",324.978957064645,11.9609453675,5.21429938662727e-11,1,"myeloma"
"300",323.929020771495,12.6663908975,5.2907876945884e-11,1,"myeloma"
"301",322.44359189767,12.0809822075,5.40135884642187e-11,1,"myeloma"
"302",322.33967663815,12.586191655,5.40919921112146e-11,1,"myeloma"
"303",321.665844230847,13.00401139,5.46037853496244e-11,1,"myeloma"
"304",320.005530406748,12.699552535,5.58903169563065e-11,1,"myeloma"
"305",319.790119500733,12.03379035,5.60599355950856e-11,1,"myeloma"
"306",318.110369819646,12.901310205,5.74044146787593e-11,1,"myeloma"
"307",317.744190300288,13.18570757,5.77027191633474e-11,1,"myeloma"
"308",317.365602934977,13.0396134825,5.80131260272991e-11,1,"myeloma"
"309",317.3435350891,12.4963684075,5.80312825030718e-11,1,"myeloma"
"310",316.311604293063,12.7930822375,5.88881208680692e-11,1,"myeloma"
"311",316.005899710992,12.957826375,5.9144918909681e-11,1,"myeloma"
"312",314.335886769117,11.9212272175,6.05721761892864e-11,1,"myeloma"
"313",313.141924769973,12.45025444,6.16184411155547e-11,1,"myeloma"
"314",312.936760853241,10.20017028,6.18004426582469e-11,1,"myeloma"
"315",312.87659526012,10.993929865,6.18539402880117e-11,1,"myeloma"
"316",312.523629162356,10.25032878,6.21689308266198e-11,1,"myeloma"
"317",311.123418645583,9.93409085275,6.34379713219509e-11,1,"myeloma"
"318",310.407277908619,11.549546005,6.40992591390143e-11,1,"myeloma"
"319",309.440580002354,10.959748745,6.50053294991229e-11,1,"myeloma"
"320",308.181501289483,12.6382825375,6.62090373711803e-11,1,"myeloma"
"321",307.295845552012,10.2528531575,6.70720891597862e-11,1,"myeloma"
"322",307.057713302853,13.2047767625,6.73064853171559e-11,1,"myeloma"
"323",306.481867253216,11.30948758,6.7877447604815e-11,1,"myeloma"
"324",305.754154639332,11.9919233325,6.86074809605089e-11,1,"myeloma"
"325",305.185468922327,12.489601375,6.91846684812461e-11,1,"myeloma"
"326",304.951416237031,12.939922095,6.94239432744185e-11,1,"myeloma"
"327",304.18376779156,11.44399047,7.02158503098194e-11,1,"myeloma"
"328",303.184695922164,12.8515651225,7.12630979986599e-11,1,"myeloma"
"329",302.203277625661,13.232437135,7.23104872212075e-11,1,"myeloma"
"330",301.122257190077,11.7298789025,7.34860364313648e-11,1,"myeloma"
"331",300.74070420715,12.8403506275,7.39065228583348e-11,1,"myeloma"
"332",300.469019550791,9.646774292,7.42077233288174e-11,1,"myeloma"
"333",300.090918597021,10.6855678575,7.46294021711915e-11,1,"myeloma"
"334",299.769067693954,12.369048595,7.49906573184178e-11,1,"myeloma"
"335",299.502407420077,13.41839528,7.52915848876062e-11,1,"myeloma"
"336",298.830549299402,9.7936673165,7.60563493876517e-11,1,"myeloma"
"337",298.340229167064,13.0157358675,7.66204705895649e-11,1,"myeloma"
"338",297.088538499067,9.50053358075,7.80839190495632e-11,1,"myeloma"
"339",296.324666584737,9.66950988775,7.89938179423471e-11,1,"myeloma"
"340",296.271985946125,12.90300727,7.90570457930812e-11,1,"myeloma"
"341",296.227931885191,10.89365649,7.91099674309292e-11,1,"myeloma"
"342",296.136323799605,11.0141766075,7.92201538721823e-11,1,"myeloma"
"343",295.94441938037,11.9775953275,7.94515856692815e-11,1,"myeloma"
"344",295.883407361623,10.5363168725,7.95253376611247e-11,1,"myeloma"
"345",295.869001171291,10.7450175275,7.95427642300424e-11,1,"myeloma"
"346",295.067910679989,12.848658085,8.05191986956129e-11,1,"myeloma"
"347",294.238662402868,11.99956274,8.15454306528216e-11,1,"myeloma"
"348",293.936865630724,11.8176586625,8.19228810872715e-11,1,"myeloma"
"349",293.407482302704,13.1873083125,8.25901407538579e-11,1,"myeloma"
"350",293.380514746031,9.9299378395,8.26243093989557e-11,1,"myeloma"
"351",293.027506035047,12.872441055,8.30731785571035e-11,1,"myeloma"
"352",292.952650552088,12.7771022325,8.31687439208772e-11,1,"myeloma"
"353",292.034826290207,13.1148965325,8.43514930056067e-11,1,"myeloma"
"354",291.760163437404,9.80298733725,8.47094256667632e-11,1,"myeloma"
"355",291.708512451486,11.6776294725,8.47769429501727e-11,1,"myeloma"
"356",291.272165300458,12.8917493825,8.5349961295556e-11,1,"myeloma"
"357",290.969247681915,9.53666234025,8.57505429274967e-11,1,"myeloma"
"358",290.499497721308,10.7742719675,8.63763005739306e-11,1,"myeloma"
"359",290.490295531932,9.99805522175,8.63886145182276e-11,1,"myeloma"
"360",290.184993167437,9.93750906,8.6798375183055e-11,1,"myeloma"
"361",289.686929586515,11.401610375,8.74719611242559e-11,1,"myeloma"
"362",289.514414189842,11.4768025875,8.77067612131477e-11,1,"myeloma"
"363",289.321174516963,9.4009165765,8.79706832094455e-11,1,"myeloma"
"364",288.329856831612,12.8422586925,8.93399644343594e-11,1,"myeloma"
"365",288.034686436751,12.26651621,8.97526993979025e-11,1,"myeloma"
"366",287.939895120417,9.97086787125,8.98857396506613e-11,1,"myeloma"
"367",287.52939798929,11.0505945675,9.04646646001703e-11,1,"myeloma"
"368",286.915180043369,12.2733807575,9.13394335732827e-11,1,"myeloma"
"369",286.594186906521,9.5071811675,9.18007047866713e-11,1,"myeloma"
"370",286.476250899303,12.7138462075,9.19708952099771e-11,1,"myeloma"
"371",286.439954681886,10.608793735,9.20233509364445e-11,1,"myeloma"
"372",286.001773974487,10.88320446,9.26595093977421e-11,1,"myeloma"
"373",285.785274496073,10.29125595,9.29758107780065e-11,1,"myeloma"
"374",284.716478953789,10.5781865125,9.45567779844493e-11,1,"myeloma"
"375",284.354791075737,10.698520185,9.50992169557448e-11,1,"myeloma"
"376",284.273948849125,10.310274125,9.52209791287131e-11,1,"myeloma"
"377",283.905052099555,10.1614038925,9.57790250377233e-11,1,"myeloma"
"378",283.401656255307,12.3221361625,9.65469973741011e-11,1,"myeloma"
"379",282.76489963706,9.79415631275,9.75292337459017e-11,1,"myeloma"
"380",282.47051297728,9.6043059825,9.79874703073273e-11,1,"myeloma"
"381",282.367724066373,13.0849719025,9.81480890624807e-11,1,"myeloma"
"382",281.847909073384,13.0946130725,9.89653020094291e-11,1,"myeloma"
"383",281.72883523404,10.55341387,9.91536699438151e-11,1,"myeloma"
"384",281.564212280494,11.914148335,9.94148162005424e-11,1,"myeloma"
"385",281.525062803758,10.0105175985,9.9477043851478e-11,1,"myeloma"
"386",281.44807845416,13.12770748,9.95995485121477e-11,1,"myeloma"
"387",281.432100238948,11.20802474,9.96249976365126e-11,1,"myeloma"
"388",281.119864310865,9.068052292,1.00123906754771e-10,1,"myeloma"
"389",281.110680668104,10.15880418,1.00138627096508e-10,1,"myeloma"
"390",281.034648716508,9.739587784,1.00260599380459e-10,1,"myeloma"
"391",280.936739557505,12.9527330425,1.00417935188003e-10,1,"myeloma"
"392",280.785639056532,9.3330426215,1.00661339849022e-10,1,"myeloma"
"393",280.370833481295,11.4272744675,1.01333258043813e-10,1,"myeloma"
"394",280.175044787292,9.9071257115,1.0165230806537e-10,1,"myeloma"
"395",279.606248529383,10.5725946425,1.02586186896604e-10,1,"myeloma"
"396",279.335434616191,12.581109285,1.03034506814641e-10,1,"myeloma"
"397",279.011963217191,12.0373005875,1.03573141353453e-10,1,"myeloma"
"398",278.777002342404,10.00413131725,1.03966549736404e-10,1,"myeloma"
"399",278.490087231479,9.75378417975,1.04449427897112e-10,1,"myeloma"
"400",278.001658883515,11.6948416225,1.05277774238666e-10,1,"myeloma"
"401",277.675675574279,12.201792,1.05835092881678e-10,1,"myeloma"
"402",277.590116748803,9.0121564865,1.05981965850909e-10,1,"myeloma"
"403",277.516394980427,9.85470175725,1.06108718798574e-10,1,"myeloma"
"404",277.401549373288,12.95519185,1.06306547049476e-10,1,"myeloma"
"405",277.071178128564,9.39291477175,1.06878149573568e-10,1,"myeloma"
"406",276.700420514608,12.1691880225,1.07524107901731e-10,1,"myeloma"
"407",276.553772687926,9.2713615895,1.07780923771458e-10,1,"myeloma"
"408",276.522122813564,11.394640685,1.07836448691531e-10,1,"myeloma"
"409",276.289522927766,11.1219477675,1.08245584413478e-10,1,"myeloma"
"410",276.163860857393,9.3800115585,1.08467409303092e-10,1,"myeloma"
"411",275.818543910008,12.444468975,1.09079847170848e-10,1,"myeloma"
"412",275.812451566846,12.9409241675,1.09090690150111e-10,1,"myeloma"
"413",275.785443511365,9.21374201775,1.09138774187197e-10,1,"myeloma"
"414",275.718788000678,9.704580784,1.0925755582954e-10,1,"myeloma"
"415",275.519928404585,9.7859597205,1.09612868222175e-10,1,"myeloma"
"416",274.714862170117,12.4952347275,1.11065831825247e-10,1,"myeloma"
"417",274.704237291911,8.9608056545,1.11085164196438e-10,1,"myeloma"
"418",273.688942920293,12.858950615,1.12951657152109e-10,1,"myeloma"
"419",273.317507369305,11.547935245,1.13644058477472e-10,1,"myeloma"
"420",272.378431824568,12.39593053,1.15417883793084e-10,1,"myeloma"
"421",272.049328589892,12.90347719,1.16047525109842e-10,1,"myeloma"
"422",271.550458838457,10.4121558675,1.17009989876179e-10,1,"myeloma"
"423",271.498893584875,10.1476910125,1.17110029608473e-10,1,"myeloma"
"424",271.17212922663,10.19956112,1.1774640827527e-10,1,"myeloma"
"425",271.142356910952,9.26823830575,1.17804600162927e-10,1,"myeloma"
"426",271.081482768286,9.7971823215,1.179236919995e-10,1,"myeloma"
"427",271.016577793849,12.83629942,1.18050831723965e-10,1,"myeloma"
"428",270.716535047059,12.3517789825,1.18640755289014e-10,1,"myeloma"
"429",270.21615648745,9.05449533475,1.19632601923046e-10,1,"myeloma"
"430",269.924182897939,12.0172667475,1.2021603263495e-10,1,"myeloma"
"431",269.881667680394,11.9714560525,1.20301277652787e-10,1,"myeloma"
"432",269.551932806411,11.342769145,1.20964926237408e-10,1,"myeloma"
"433",268.857803829753,12.3510272475,1.22376666276047e-10,1,"myeloma"
"434",268.583173197647,8.59784674625,1.22940773371426e-10,1,"myeloma"
"435",268.58144350576,12.8664991875,1.22944336317285e-10,1,"myeloma"
"436",266.706048219267,10.5053391425,1.26882797842575e-10,1,"myeloma"
"437",266.652761336535,10.03027629825,1.26996939498514e-10,1,"myeloma"
"438",266.489274418833,9.5235340595,1.27347916024676e-10,1,"myeloma"
"439",265.844171518131,9.46049332625,1.28744454850782e-10,1,"myeloma"
"440",265.459840355706,9.78493475925,1.29585367189247e-10,1,"myeloma"
"441",265.282964631743,11.51355553,1.29974624377704e-10,1,"myeloma"
"442",264.763842649976,11.9351267825,1.31125356897824e-10,1,"myeloma"
"443",264.701141918372,9.32711577425,1.31265186291636e-10,1,"myeloma"
"444",264.517615796234,12.9420237525,1.3167551801573e-10,1,"myeloma"
"445",264.508813953273,9.64933109275,1.31695236735977e-10,1,"myeloma"
"446",264.490090435981,12.1567924025,1.31737194934189e-10,1,"myeloma"
"447",264.315352970387,13.6738538725,1.32129559155129e-10,1,"myeloma"
"448",264.271253890071,11.4635937225,1.32228807051365e-10,1,"myeloma"
"449",264.245997725906,9.9300251,1.32285688753121e-10,1,"myeloma"
"450",264.211815268735,10.44653964,1.32362721806878e-10,1,"myeloma"
"451",264.20999773212,9.33227324475,1.32366819313995e-10,1,"myeloma"
"452",263.839290322011,11.85694337,1.33205803121249e-10,1,"myeloma"
"453",263.380931687631,9.93348383925,1.3425216415941e-10,1,"myeloma"
"454",263.378299066879,10.553940535,1.34258202977286e-10,1,"myeloma"
"455",263.06888916474,11.2421829725,1.34970258903286e-10,1,"myeloma"
"456",263.015419545759,9.367786169,1.35093777723156e-10,1,"myeloma"
"457",262.611523402898,8.9139204025,1.36031285184398e-10,1,"myeloma"
"458",262.576103078016,9.65345215825,1.36113880087999e-10,1,"myeloma"
"459",262.182855721055,8.9603266715,1.37035004650511e-10,1,"myeloma"
"460",262.148639596023,9.021555662,1.37115510685968e-10,1,"myeloma"
"461",261.885270800804,11.6459081175,1.37737121558246e-10,1,"myeloma"
"462",261.739078704804,12.76414275,1.38083655086508e-10,1,"myeloma"
"463",261.686127279515,9.80262827875,1.38209433884058e-10,1,"myeloma"
"464",261.430962361555,12.74483442,1.3881750979397e-10,1,"myeloma"
"465",260.970423045496,9.9108097555,1.39923306065568e-10,1,"myeloma"
"466",260.37519163962,9.24887442575,1.41368505558744e-10,1,"myeloma"
"467",259.735982257704,9.4142067435,1.42940851177344e-10,1,"myeloma"
"468",259.59995362468,10.812989235,1.43278211780758e-10,1,"myeloma"
"469",259.218946423308,10.032244444,1.4422832993475e-10,1,"myeloma"
"470",259.049909686853,9.48362016675,1.44652322349922e-10,1,"myeloma"
"471",258.936761354515,9.07502055175,1.44936981973831e-10,1,"myeloma"
"472",258.772616401971,11.2530765525,1.45351157468752e-10,1,"myeloma"
"473",258.500254708858,9.387114048,1.46041585041985e-10,1,"myeloma"
"474",258.232146664892,13.0824379925,1.46725148630019e-10,1,"myeloma"
"475",258.156792485458,9.93364572425,1.46917973900348e-10,1,"myeloma"
"476",257.837401853677,9.390873194,1.47738715257683e-10,1,"myeloma"
"477",257.336337089751,11.2701733125,1.49037629370281e-10,1,"myeloma"
"478",256.993821449395,8.127867699,1.49933571789819e-10,1,"myeloma"
"479",256.810049642927,9.14112520225,1.50416990121706e-10,1,"myeloma"
"480",256.73553201675,9.8403053285,1.50613554132506e-10,1,"myeloma"
"481",256.672726305262,11.2395987525,1.50779468086531e-10,1,"myeloma"
"482",256.623533311868,11.8405206225,1.50909577322616e-10,1,"myeloma"
"483",256.601650898623,9.3075482845,1.50967497627383e-10,1,"myeloma"
"484",256.529654740816,9.41897130025,1.51158255269065e-10,1,"myeloma"
"485",256.472376355414,8.4054780005,1.51310227839331e-10,1,"myeloma"
"486",256.300753796219,9.8361485005,1.51766700833982e-10,1,"myeloma"
"487",256.294981394133,11.26838088,1.51782083211867e-10,1,"myeloma"
"488",256.229746460591,9.15780568125,1.51956054695456e-10,1,"myeloma"
"489",256.028233599593,8.18272733675,1.52494999695003e-10,1,"myeloma"
"490",256.003232132762,8.61473059675,1.52562028766706e-10,1,"myeloma"
"491",255.964285786259,12.4427115925,1.52666515890869e-10,1,"myeloma"
"492",255.957725853234,12.5206985475,1.5268412379891e-10,1,"myeloma"
"493",255.563346032123,9.108696699,1.53747277496296e-10,1,"myeloma"
"494",255.4579572048,10.5443191525,1.54032911131389e-10,1,"myeloma"
"495",254.990043529425,12.7839603425,1.55308949587685e-10,1,"myeloma"
"496",254.828784033159,8.43176198025,1.55751708543066e-10,1,"myeloma"
"497",254.772597040394,8.686052561,1.55906339555845e-10,1,"myeloma"
"498",254.769425960397,9.7162766455,1.55915072209064e-10,1,"myeloma"
"499",254.504367110799,8.5267841815,1.56647120504141e-10,1,"myeloma"
"500",254.354145860937,8.3446748255,1.57063871687182e-10,1,"myeloma"
